Date,DIA,DVY,FVD,IVV,IWB,IWR,OEF,RSP,SCHV,SCHX,SPHQ,SPLG,SPY,VO,VOO,VTV,VYM
2015-01-02,142.6203155517578,54.386226654052734,19.012210845947266,171.7064666748047,96.425048828125,35.47254180908203,76.14201354980469,66.67633819580078,11.15478801727295,6.832456111907959,19.636011123657227,20.045886993408203,171.09365844726562,104.75227355957031,156.15809631347656,64.24956512451172,49.262535095214844
2015-01-05,140.13563537597656,53.4962272644043,18.720809936523438,168.6914825439453,94.8004379272461,34.873722076416016,74.79219055175781,65.35162353515625,10.952618598937988,6.716770648956299,19.33197021484375,19.651811599731445,168.00376892089844,102.9044189453125,153.41456604003906,63.06353759765625,48.37375259399414
2015-01-06,138.97341918945312,53.147064208984375,18.58692169189453,167.1715545654297,93.8660659790039,34.5169677734375,74.12152099609375,64.64347839355469,10.866698265075684,6.656836986541748,19.205286026000977,19.415369033813477,166.42132568359375,101.7854995727539,151.9060516357422,62.508567810058594,48.058372497558594
2015-01-07,140.73667907714844,53.763221740722656,18.815322875976562,169.23965454101562,95.02772521972656,34.97563934326172,75.0018081665039,65.41826629638672,10.972832679748535,6.736282825469971,19.441762924194336,19.734773635864258,168.49517822265625,103.08241271972656,153.80413818359375,63.208003997802734,48.603111267089844
2015-01-08,143.27752685546875,54.52998733520508,19.098848342895508,172.2629852294922,96.71966552734375,35.574462890625,76.36835479736328,66.56803894042969,11.164894104003906,6.8561506271362305,19.754249572753906,20.09607696533203,171.48513793945312,104.9302749633789,156.50628662109375,64.37120056152344,49.513397216796875
2015-01-09,142.04322814941406,54.10551071166992,18.933454513549805,170.80941772460938,95.90314483642578,35.28778076171875,75.76471710205078,66.02648162841797,11.066341400146484,6.800398349761963,19.585336685180664,19.93950843811035,170.1109161376953,104.17584991455078,155.18838500976562,63.78580856323242,49.13350296020508
2015-01-12,141.25767517089844,53.8179817199707,18.846820831298828,169.51380920410156,95.16241455078125,35.009613037109375,75.20301818847656,65.36830139160156,11.000636100769043,6.746041297912598,19.450204849243164,19.743066787719727,168.7783660888672,103.25192260742188,154.03623962402344,63.35246276855469,48.81098556518555
2015-01-13,141.04937744140625,53.91383743286133,18.870447158813477,169.07351684570312,95.00245666503906,34.97139358520508,75.01018524169922,65.20167541503906,10.960199356079102,6.73070764541626,19.391094207763672,19.671722412109375,168.30364990234375,103.10784912109375,153.63006591796875,63.10157012939453,48.717796325683594
2015-01-14,139.51043701171875,54.002838134765625,18.870447158813477,168.0519561767578,94.42161560058594,34.81426239013672,74.50716400146484,64.86007690429688,10.879331588745117,6.691681385040283,19.323528289794922,19.579214096069336,167.2875518798828,102.53993225097656,152.72659301757812,62.675819396972656,48.49559783935547
2015-01-15,138.70896911621094,53.9001350402832,18.870447158813477,166.4738006591797,93.52092742919922,34.47026443481445,73.76099395751953,64.26021575927734,10.811098098754883,6.630353927612305,19.24751091003418,19.482980728149414,165.75506591796875,101.4803466796875,151.30101013183594,62.22728729248047,48.15156555175781
2015-01-16,140.1192626953125,54.488922119140625,19.090972900390625,168.60842895507812,94.71626281738281,34.92466735839844,74.66643524169922,65.14336395263672,10.942512512207031,6.716770648956299,19.407976150512695,19.61033058166504,167.92881774902344,102.96370697021484,153.17420959472656,63.04075241088867,48.6747932434082
2015-01-20,140.30369567871094,54.61213302612305,19.067344665527344,169.0237579345703,94.8761978149414,34.907684326171875,74.85926818847656,65.17665100097656,10.937455177307129,6.727921009063721,19.441762924194336,19.741413116455078,168.2869873046875,102.76876068115234,153.55551147460938,63.05595016479492,48.83247756958008
2015-01-21,140.6646270751953,54.96815872192383,19.169734954833984,169.85427856445312,95.3644027709961,35.151893615722656,75.12754821777344,65.62657928466797,10.985471725463867,6.762768268585205,19.526220321655273,19.811927795410156,169.13641357421875,103.54013061523438,154.3594207763672,63.39045333862305,49.026004791259766
2015-01-22,142.72630310058594,55.41999816894531,19.343000411987305,172.34609985351562,96.8459243774414,35.67214584350586,76.32644653320312,66.54306030273438,11.142155647277832,6.863119125366211,19.82181739807129,20.045886993408203,171.65167236328125,105.04047393798828,156.7218017578125,64.32557678222656,49.6782341003418
2015-01-23,141.51499938964844,55.17354965209961,19.25636863708496,171.4241180419922,96.34085845947266,35.50861358642578,75.8736801147461,66.18478393554688,11.048649787902832,6.828274726867676,19.68668556213379,20.0313663482666,170.7105712890625,104.57426452636719,155.85971069335938,63.79341506958008,49.269691467285156
2015-01-26,141.58718872070312,55.30360412597656,19.311492919921875,171.8809356689453,96.68600463867188,35.82926559448242,75.95753479003906,66.50970458984375,11.081502914428711,6.849182605743408,19.720468521118164,20.07159996032715,171.11033630371094,105.3032455444336,156.16639709472656,63.94547653198242,49.38437271118164
2015-01-27,139.25286865234375,54.98181915283203,19.201231002807617,169.5718994140625,95.50750732421875,35.58506393432617,74.67483520507812,65.97650146484375,10.932401657104492,6.765554428100586,19.526220321655273,19.908784866333008,168.85337829589844,104.55731201171875,154.119140625,63.10918045043945,48.61029052734375
2015-01-28,137.75265502929688,54.39991760253906,18.964962005615234,167.37913513183594,94.19435119628906,35.14977264404297,73.71907043457031,64.9684066772461,10.760552406311035,6.677743434906006,19.281299591064453,19.77832794189453,166.68789672851562,103.26884460449219,152.08840942382812,62.060020446777344,48.12288284301758
2015-01-29,139.50146484375,54.9749870300293,19.153982162475586,168.98219299316406,95.04450225830078,35.396080017089844,74.48200988769531,65.56825256347656,10.841423988342285,6.732101917266846,19.467103958129883,19.66798973083496,168.22865295410156,104.09960174560547,153.5638427734375,62.645423889160156,48.653282165527344
