Date,Portfolio Value
2020-06-29,899.3037859400695
2020-06-30,899.3037859400695
2020-07-01,899.3037859400695
2020-07-02,899.3037859400695
2020-07-06,899.3037859400695
2020-07-07,899.3037859400695
2020-07-08,899.3037859400695
2020-07-09,899.3037859400695
2020-07-10,899.3037859400695
2020-07-13,899.3037859400695
2020-07-14,899.3037859400695
2020-07-15,899.3037859400695
2020-07-16,899.3037859400695
2020-07-17,899.3037859400695
2020-07-20,899.3037859400695
2020-07-21,899.3037859400695
2020-07-22,899.3037859400695
2020-07-23,899.3037859400695
2020-07-24,899.3037859400695
2020-07-27,899.3037859400695
2020-07-28,899.3037859400695
2020-07-29,899.3037859400695
2020-07-30,899.3037859400695
2020-07-31,899.3037859400695
2020-08-03,899.3037859400695
2020-08-04,899.3037859400695
2020-08-05,899.3037859400695
2020-08-06,899.3037859400695
2020-08-07,899.3037859400695
2020-08-10,901.3755817155875
2020-08-11,901.3755817155875
2020-08-12,901.3755817155875
2020-08-13,901.3755817155875
2020-08-14,904.0748579672327
2020-08-17,908.0835458692991
2020-08-18,908.0835458692991
2020-08-19,908.0835458692991
2020-08-20,908.0835458692991
2020-08-21,908.0835458692991
2020-08-24,908.0835458692991
2020-08-25,907.7010861061835
2020-08-26,907.7010861061835
2020-08-27,907.7010861061835
2020-08-28,907.6242220016849
2020-08-31,906.2321038261118
2020-09-01,903.7145655857097
2020-09-02,903.7145655857097
2020-09-03,903.7145655857097
2020-09-04,904.2586646539185
2020-09-08,904.7818341185425
2020-09-09,904.7818341185425
2020-09-10,904.7818341185425
2020-09-11,904.7818341185425
2020-09-14,904.7818341185425
2020-09-15,904.441456433767
2020-09-16,904.441456433767
2020-09-17,904.441456433767
2020-09-18,904.441456433767
2020-09-21,904.441456433767
2020-09-22,904.441456433767
2020-09-23,904.441456433767
2020-09-24,904.441456433767
2020-09-25,904.1895405529092
2020-09-28,904.1895405529092
2020-09-29,904.1895405529092
2020-09-30,902.5934259408463
2020-10-01,902.5934259408463
2020-10-02,902.5934259408463
2020-10-05,902.5934259408463
2020-10-06,902.3189233492095
2020-10-07,902.3189233492095
2020-10-08,902.3189233492095
2020-10-09,902.3189233492095
