Date,Portfolio Value
2020-07-23,898.9790883936532
2020-07-24,898.9790883936532
2020-07-27,898.9790883936532
2020-07-28,900.8929757617848
2020-07-29,900.8929757617848
2020-07-30,900.8929757617848
2020-07-31,900.8929757617848
2020-08-03,900.8929757617848
2020-08-04,900.8929757617848
2020-08-05,900.8929757617848
2020-08-06,900.8929757617848
2020-08-07,900.8929757617848
2020-08-10,900.8929757617848
2020-08-11,900.8929757617848
2020-08-12,900.8929757617848
2020-08-13,900.8929757617848
2020-08-14,900.8929757617848
2020-08-17,900.8929757617848
2020-08-18,900.8929757617848
2020-08-19,900.8929757617848
2020-08-20,900.8929757617848
2020-08-21,900.8929757617848
2020-08-24,900.8929757617848
2020-08-25,900.8929757617848
2020-08-26,900.8929757617848
2020-08-27,900.8929757617848
2020-08-28,900.8929757617848
2020-08-31,900.8929757617848
2020-09-01,900.8929757617848
2020-09-02,900.8929757617848
2020-09-03,900.8929757617848
2020-09-04,900.8929757617848
2020-09-08,900.8929757617848
2020-09-09,900.8929757617848
2020-09-10,900.8929757617848
2020-09-11,900.8929757617848
2020-09-14,900.8929757617848
2020-09-15,900.8929757617848
2020-09-16,900.8929757617848
2020-09-17,900.8929757617848
2020-09-18,900.8929757617848
2020-09-21,900.8929757617848
2020-09-22,900.8929757617848
2020-09-23,900.8929757617848
2020-09-24,900.8929757617848
2020-09-25,900.8929757617848
2020-09-28,900.8929757617848
2020-09-29,900.8929757617848
2020-09-30,900.8929757617848
2020-10-01,900.8929757617848
2020-10-02,900.8929757617848
2020-10-05,900.8929757617848
2020-10-06,900.8929757617848
2020-10-07,900.8929757617848
2020-10-08,900.8929757617848
2020-10-09,900.8929757617848
2020-10-12,900.8929757617848
2020-10-13,900.8929757617848
2020-10-14,900.8929757617848
2020-10-15,900.8929757617848
2020-10-16,900.8929757617848
2020-10-19,900.8929757617848
2020-10-20,900.8929757617848
2020-10-21,900.8929757617848
2020-10-22,900.8929757617848
2020-10-23,900.8929757617848
2020-10-26,900.8929757617848
2020-10-27,900.8929757617848
2020-10-28,900.8929757617848
2020-10-29,900.8929757617848
2020-10-30,900.8929757617848
2020-11-02,900.8929757617848
2020-11-03,900.8929757617848
2020-11-04,900.8929757617848
2020-11-05,900.8929757617848
2020-11-06,900.8929757617848
2020-11-09,900.8929757617848
2020-11-10,900.8929757617848
2020-11-11,900.8929757617848
2020-11-12,900.8929757617848
2020-11-13,900.8929757617848
2020-11-16,900.8929757617848
2020-11-17,900.8929757617848
2020-11-18,900.8929757617848
2020-11-19,900.8929757617848
2020-11-20,900.8929757617848
2020-11-23,900.8929757617848
