Date,AAPL,ABBV,ALB,AMZN,AVGO,AXP,BK,BRK-B,BTI,CAT,CMI,CRH,F,FN,GE,GOOG,GOOGL,GS,HD,JNJ,JPM,KTOS,LLY,LOW,MA,META,MO,MSFT,NEM,NFLX,NVDA,PWR,STX,TDG,TSLA,V,WBD,WDC,WMT,XOM
2015-01-02,24.237545013427734,42.091426849365234,51.527462005615234,15.425999641418457,7.574804306030273,79.46621704101562,30.796167373657227,149.1699981689453,26.151012420654297,69.32035064697266,108.57353973388672,17.840715408325195,8.528310775756836,17.219999313354492,102.69723510742188,25.973844528198242,26.27894401550293,156.3738250732422,79.90188598632812,76.95558166503906,46.720924377441406,4.989999771118164,57.47672653198242,55.49311065673828,80.10565948486328,77.96932983398438,24.545080184936523,39.85845184326172,15.101318359375,4.984857082366943,0.48301148414611816,27.81554412841797,39.753414154052734,123.58357238769531,14.620667457580566,61.340980529785156,34.47999954223633,69.84224700927734,23.266569137573242,57.91691970825195
2015-01-05,23.554737091064453,41.29930114746094,49.81871032714844,15.10949993133545,7.453715801239014,77.36467742919922,30.004587173461914,147.0,25.73455047607422,65.66121673583984,104.89562225341797,17.307825088500977,8.195174217224121,17.34000015258789,100.81210327148438,25.432405471801758,25.77822494506836,151.49136352539062,78.22554016113281,76.41807556152344,45.27048873901367,5.019999980926514,56.9106559753418,54.16520690917969,77.85246276855469,76.7170639038086,24.404727935791016,39.49192428588867,15.195018768310547,4.731142997741699,0.4748532176017761,27.03062629699707,39.54267883300781,122.77113342285156,14.005999565124512,59.98695373535156,33.060001373291016,68.9188461303711,23.198854446411133,56.33218765258789
2015-01-06,23.556964874267578,41.09487533569336,48.844722747802734,14.76449966430664,7.284193992614746,75.71588134765625,29.136865615844727,146.83999633789062,25.581775665283203,65.23872375488281,105.48140716552734,16.89501953125,8.11744213104248,16.809999465942383,98.64016723632812,24.842954635620117,25.14203643798828,148.4268341064453,77.9860610961914,76.04257202148438,44.096675872802734,4.849999904632568,57.19779586791992,54.28816604614258,77.6841812133789,75.68343353271484,24.550094604492188,38.912288665771484,15.827491760253906,4.650143146514893,0.4604564309120178,26.697036743164062,38.45279312133789,123.0836181640625,14.085332870483398,59.60041809082031,31.979999542236328,67.38197326660156,23.377620697021484,56.03273010253906
2015-01-07,23.88727569580078,42.75577926635742,48.6482048034668,14.920999526977539,7.480964183807373,77.36953735351562,29.738176345825195,148.8800048828125,25.672948837280273,66.24969482421875,105.98564147949219,17.19523811340332,8.350639343261719,16.770000457763672,98.68115997314453,24.800392150878906,25.06809425354004,150.63880920410156,80.6589584350586,77.72129821777344,44.16394805908203,5.03000020980835,56.79582977294922,55.902950286865234,78.89257049560547,75.68343353271484,25.001201629638672,39.40667724609375,15.686939239501953,4.674285888671875,0.45925676822662354,26.677419662475586,38.699676513671875,124.71473693847656,14.063332557678223,60.39893341064453,32.209999084472656,68.39391326904297,23.997882843017578,56.6004753112793
2015-01-08,24.805082321166992,43.20295333862305,50.177547454833984,15.02299976348877,7.854818820953369,78.46623992919922,30.149194717407227,151.3699951171875,26.084484100341797,66.9287109375,108.12865447998047,17.653074264526367,8.561623573303223,17.270000457763672,99.86958312988281,24.878591537475586,25.155433654785156,153.0438232421875,82.44352722167969,78.33240509033203,45.15085983276367,5.139999866485596,58.141258239746094,57.083316802978516,80.11972045898438,77.70098876953125,25.422218322753906,40.56594467163086,15.60105037689209,4.7779998779296875,0.47653278708457947,27.491777420043945,39.39816665649414,126.80204010009766,14.041333198547363,61.20903396606445,32.470001220703125,69.81060028076172,24.504383087158203,57.542572021484375
2015-01-09,24.831684112548828,42.021156311035156,50.425323486328125,14.846500396728516,7.938826084136963,77.47234344482422,29.707727432250977,149.47000122070312,25.948949813842773,66.12898254394531,106.48246002197266,17.517974853515625,8.445027351379395,17.020000457763672,98.47622680664062,24.556398391723633,24.848251342773438,150.69512939453125,81.02980041503906,77.26480102539062,44.365821838378906,5.050000190734863,57.370086669921875,56.0095329284668,79.09867858886719,77.2636947631836,25.362075805664062,40.22498321533203,16.17886734008789,4.704143047332764,0.4784524738788605,27.011009216308594,40.00632858276367,125.81465148925781,13.77733325958252,60.30173110961914,32.029998779296875,70.97432708740234,24.201025009155273,57.461456298828125
2015-01-12,24.219818115234375,42.00837326049805,51.00628662109375,14.570500373840332,7.8071417808532715,76.68406677246094,29.28148651123047,148.27999877929688,26.252052307128906,65.55558776855469,105.71125793457031,17.465438842773438,8.450579643249512,16.889999389648438,98.27131652832031,24.377235412597656,24.6666259765625,148.86119079589844,80.66671752929688,76.99974822998047,43.98452377319336,4.860000133514404,56.9516716003418,55.61605453491211,78.08699035644531,76.24993133544922,25.522470474243164,39.72206115722656,16.545856475830078,4.554714202880859,0.4724538028240204,26.177032470703125,39.163326263427734,125.77088928222656,13.480667114257812,60.183692932128906,31.639999389648438,69.77267456054688,24.382497787475586,56.357147216796875
2015-01-13,24.43485450744629,40.79838943481445,52.10843276977539,14.737000465393066,7.763247013092041,76.4527587890625,29.22821617126465,148.6300048828125,26.609376907348633,65.16324615478516,104.80661010742188,17.270294189453125,8.445027351379395,16.799999237060547,97.7795639038086,24.55689239501953,24.901851654052734,148.74855041503906,80.1336669921875,77.13228607177734,43.99198913574219,4.849999904632568,56.918861389160156,55.62427520751953,78.26498413085938,75.9815902709961,25.722963333129883,39.51749801635742,15.897767066955566,4.625570774078369,0.471733957529068,25.97098731994629,38.98869323730469,127.50827026367188,13.616666793823242,60.35957336425781,31.209999084472656,69.17815399169922,24.190187454223633,56.151248931884766
2015-01-14,24.341745376586914,40.99790954589844,50.852500915527344,14.66349983215332,7.824549198150635,74.60205841064453,28.489887237548828,147.82000732421875,26.503406524658203,64.93692779541016,105.59263610839844,17.15019989013672,8.389505386352539,16.68000030517578,97.45171356201172,24.78900909423828,25.106800079345703,144.9681396484375,79.2916030883789,76.57267761230469,42.47425842285156,4.940000057220459,57.23060989379883,55.239013671875,78.18064880371094,75.8126220703125,25.9284610748291,39.17652130126953,15.42927074432373,4.631999969482422,0.4736534357070923,25.843442916870117,38.892364501953125,127.56449127197266,12.845999717712402,59.151390075683594,30.0,68.79235076904297,23.45887565612793,55.98904800415039
2015-01-15,23.681102752685547,40.476593017578125,49.6221923828125,14.34749984741211,7.667891979217529,73.58245849609375,28.352880477905273,147.5800018310547,26.808984756469727,64.1382827758789,104.94007873535156,16.97757911682129,8.250697135925293,16.170000076293945,96.63214111328125,24.83454132080078,25.011518478393555,143.56858825683594,78.03239440917969,75.46092987060547,41.11353302001953,4.849999904632568,57.214195251464844,54.38651657104492,77.04717254638672,73.59630584716797,26.299367904663086,38.76737976074219,16.795724868774414,4.625143051147461,0.4702942967414856,25.30381202697754,37.50141525268555,127.32701110839844,12.791333198547363,58.58893966674805,29.469999313354492,66.21826171875,23.667436599731445,55.50239562988281
