ETF,Cluster,PC1,PC2
IWN,0,-19.19518593555148,-37.72305940823793
MDY,0,-10.280913795188486,-17.03639791779779
IWO,0,-40.10541482013577,-11.474424689314274
IWM,0,-29.62727316825737,-24.670140821291604
IJR,0,-25.22594193640099,-30.974947721548745
ARKK,0,-87.37320621361644,51.61233812834144
VTWO,0,-29.788021107696164,-24.257755684703223
SCHA,0,-24.201325455767073,-21.49989916012384
SPMD,0,-16.7523758270739,-21.373873977247122
FNDA,0,-16.5324586983667,-27.2787963273501
VB,0,-18.924609296730488,-17.088121988514974
SPSM,0,-30.60377136853661,-25.064562948479054
IJH,0,-10.333776113593418,-17.009979541278224
VTV,1,13.710690467938838,-3.518167397828774
SDY,1,17.521817020771625,-12.516777261465583
DGRO,1,14.997525860077836,1.5508569339736207
IWD,1,11.42765821191291,-8.095012047336938
SCHV,1,14.616080434731424,-3.0732237026010334
FV,1,-17.698333615685364,15.685708228565023
SCHX,1,5.221234414860224,8.592363213043077
USMV,1,25.83772561492385,6.46470326954639
SPLG,1,3.428093634790315,9.609420502139209
SPY,1,6.930203900591996,8.99165313615391
SCHD,1,19.666387680598678,1.3559926025925386
DVY,1,22.473325649744517,-13.224260266601137
HDV,1,29.9896584409048,-4.2424319913250805
IVW,1,2.0618950118829074,23.730081371934443
IWS,1,3.9148262470269426,-15.992616378618262
MTUM,1,2.741527269158348,27.573559176413763
IUSV,1,9.129330615664534,-8.511067168928953
SPHD,1,25.80005819173209,-13.239221844579642
VYM,1,18.262691226051906,-2.3129382073034437
SPYG,1,1.8323836833693117,24.000863610578456
SPLV,1,32.44179703618747,1.7457291079336426
IWF,1,-2.4234756515020033,23.238562778317835
SCHM,1,-7.910291536357902,-8.460018752803421
SPHQ,1,9.208464688757616,8.183599905654233
VUG,1,-2.7506252593372413,23.399155801841903
VTI,1,2.2349533971059943,5.54081339424819
QUAL,1,8.805446748190295,10.24646334155716
QQQ,1,-11.359984871058401,37.73169743239628
SCHG,1,-4.226989729836904,20.253042462683545
OEF,1,8.363192469643433,13.924138582796553
PRF,1,7.593880378756859,-6.315857726421603
IWR,1,-2.5940316604104328,-5.29671293048701
IVE,1,11.683259944225963,-7.042948975611183
RPG,1,-7.993682267141156,19.35340827414918
FVD,1,24.763591414205376,-8.51505288647315
ITOT,1,2.6542893919585397,5.748968995107616
RSP,1,3.7244484830003706,-4.753992908913586
IVV,1,6.504164528151075,9.188655913728143
VIG,1,16.540911577084582,3.8487078618938892
IWB,1,4.658307276620311,7.7618030672182226
IUSG,1,-0.6815251657387311,20.87038127187324
VO,1,-3.033464305502618,-3.243073498861789
SCHB,1,2.310292388803863,5.676804411936226
FNDX,1,9.254272511107667,-3.923390860772216
VLUE,1,-1.4319182389068212,-5.469893424583276
DIA,1,14.101560197517164,7.141463670556063
SPYV,1,11.523329134363,-7.111845517538732
IWP,1,-11.397253566647029,8.072879418137614
VOO,1,6.516574462626824,9.21664806963026
